Camp ID,Camp,Student ID,Name,Faculty,Role
C004,1792 United States Presidential Election,com2,Justin Trudeau,SCSE,Committee
C004,1792 United States Presidential Election,att5,Winston Churchill,SCSE,Attendee
C004,1792 United States Presidential Election,att4,Angela Merkel,SCSE,Attendee
C003,Chinese New Year,com2,Justin Trudeau,SCSE,Committee
C003,Chinese New Year,att5,Winston Churchill,SCSE,Attendee
C003,Chinese New Year,att4,Angela Merkel,SCSE,Attendee
C002,Christmas Party,com,Alan Walker,MSE,Committee
C002,Christmas Party,att1,John Doe,NBS,Attendee
C005,Christmas Party 0th SCSE,com2,Justin Trudeau,SCSE,Committee
C005,Christmas Party 0th SCSE,att5,Winston Churchill,SCSE,Attendee
C005,Christmas Party 0th SCSE,att4,Angela Merkel,SCSE,Attendee
C006,Christmas Party 1st SCSE,com2,Justin Trudeau,SCSE,Committee
C008,Christmas Party 2nd Round SCSE,com2,Justin Trudeau,SCSE,Committee
C007,Christmas Party MSE,com,Alan Walker,MSE,Committee
C007,Christmas Party MSE,att3,John Smith,MSE,Attendee
C010,Christmas Party X++,com2,Justin Trudeau,SCSE,Committee
C009,Sad Empty Christmas Party,com2,Justin Trudeau,SCSE,Committee
C009,Sad Empty Christmas Party,att5,Winston Churchill,SCSE,Attendee
C009,Sad Empty Christmas Party,att4,Angela Merkel,SCSE,Attendee
C001,Soccer Match,com,Alan Walker,MSE,Committee
C001,Soccer Match,att3,John Smith,MSE,Attendee
C001,Soccer Match,att2,Jane Doe,SCSE,Attendee
