Camp ID,Camp,Student ID,Name,Faculty,Role
C004,1792 United States Presidential Election,att4,Angela Merkel,SCSE,Attendee
C004,1792 United States Presidential Election,att5,Winston Churchill,SCSE,Attendee
C003,Chinese New Year,att4,Angela Merkel,SCSE,Attendee
C003,Chinese New Year,att5,Winston Churchill,SCSE,Attendee
C002,Christmas Party,com,Alan Walker,MSE,Committee
C002,Christmas Party,att1,John Doe,SCSE,Committee
C005,Christmas Party 0th SCSE,att4,Angela Merkel,SCSE,Attendee
C005,Christmas Party 0th SCSE,att5,Winston Churchill,SCSE,Attendee
C006,Christmas Party 1st SCSE,att1,John Doe,SCSE,Attendee
C006,Christmas Party 1st SCSE,att4,Angela Merkel,SCSE,Attendee
C006,Christmas Party 1st SCSE,att5,Winston Churchill,SCSE,Attendee
C008,Christmas Party 2nd Round SCSE,att4,Angela Merkel,SCSE,Attendee
C008,Christmas Party 2nd Round SCSE,att5,Winston Churchill,SCSE,Attendee
C010,Christmas Party X++,att4,Angela Merkel,SCSE,Attendee
C010,Christmas Party X++,att5,Winston Churchill,SCSE,Attendee
C009,Sad Empty Christmas Party,att4,Angela Merkel,SCSE,Attendee
C009,Sad Empty Christmas Party,att5,Winston Churchill,SCSE,Attendee
C001,Soccer Match,com,Alan Walker,MSE,Committee
C001,Soccer Match,att3,John Smith,MSE,Attendee
C001,Soccer Match,att1,John Doe,SCSE,Attendee
C001,Soccer Match,att2,Jane Doe,SCSE,Attendee
