Camp ID,Camp,Student ID,Student,Points
C004,1792 United States Presidential Election,com2,Justin Trudeau,0
C003,Chinese New Year,com2,Justin Trudeau,0
C002,Christmas Party,com,Alan Walker,2
C005,Christmas Party 0th SCSE,com2,Justin Trudeau,0
C006,Christmas Party 1st SCSE,com2,Justin Trudeau,0
C008,Christmas Party 2nd Round SCSE,com2,Justin Trudeau,0
C007,Christmas Party MSE,com,Alan Walker,2
C010,Christmas Party X++,com2,Justin Trudeau,0
C009,Sad Empty Christmas Party,com2,Justin Trudeau,0
C001,Soccer Match,com,Alan Walker,2
